name,price,rating
"Studio Suite Apt | Placemakr Music Row, Nashville",$107,4.71 ·
Sonder at Village 21 | 1BR Apt w/ Balcony,$123,4.58 ·
Urban Country Style | Designer+Mission+Location,$201,"New,No_Rating"
Sonder The Verse | Studio Apartment,$99,4.33 ·
1-Bedroom Deluxe | Placemakr Premier SoBro,$164,4.80 ·
Kensington 11A ~ Queen Suite 2 Miles from Broadway,$82,"New,No_Rating"
The Golden Monkey - 12 South,$141,"New,No_Rating"
Sonder The Chorus | Queen Room+ w/ Balcony,$90,4.60 ·
Sonder Dovetail | Studio Apartment,$117,4.36 ·
"Music Row Apt steps from eats, drinks and history.",,"New,No_Rating"
"Private Vaulted Suite! King,Wet Bar,Bath/5 min DT!",$125,4.95 ·
Micro Studio | Placemakr | Wedgewood-Houston,$89,4.49 ·
The Vinyl at Music Row - 1 Bedroom Apartment,$138,4.88 ·
Studio Getaway-King Bed-Downtown,$203,"New,No_Rating"
Sonder The Score | Spacious Studio Apartment,$155,4.68 ·
"1 Bedroom Apt | Placemakr Music Row, Nashville",$99,4.71 ·
Centralized Location near Vandy/Belmont/Downtown-2,$119,4.68 ·
Bedroom and bathroom in East Nashville modern home,$59,4.94 ·
CozySuites Music Row Bold 1BR w/ free parking!,$119,4.74 ·
Bedroom and bathroom in East Nashville modern home,$59,4.94 ·
